Name,Normal Price (USD),Discounted Price (USD),Discount percentage (%),Rating (out of 5 stars),Review Count,Url
TOZO T9 True Wireless Earbuds Environmental Noise Cancellation 4 Mic Call Noise Cancelling Headphones Deep Bass Bluetooth 5.3 Light Weight Wireless Charging Case IPX7 Waterproof Headset Black,24.99,21.23,15.0,4.4,5428,https://www.amazon.com/TOZO-Environmental-Cancellation-Cancelling-Headphones/dp/B09G2ZN5FX/ref=sr_1_45?keywords=tws&qid=1656433434&s=aht&sr=1-45
"OKEAH TWS Wireless Earbuds Mini，Bluetooth 5.1 in-Ear Earphones with Type-C Fast Charging，TWS Stereo Cordless Earphones with IPX6 Waterproof/Touch Control/Noise Cancelling for Android/iPhone,T6 Black",35.99,35.99,0,3.8,27,https://www.amazon.com/OKEAH-Mini%EF%BC%8CBluetooth-Charging%EF%BC%8CTWS-Waterproof-Cancelling/dp/B094FPNMGK/ref=sr_1_46?keywords=tws&qid=1656433434&s=aht&sr=1-46
HAAFEE TWS in-Ear Bluetooth Headphones True Wireless Noise Cancelling Earplugs IPX7 Waterproof (White),9.9,9.9,0,0,0,https://www.amazon.com/Bluetooth-Headphones-Wireless-Cancelling-Waterproof/dp/B08TTFKX9W/ref=sr_1_48?keywords=tws&qid=1656433434&s=aht&sr=1-48
"CAPOXO Wireless Earbuds Bluetooth Headphones 40Hrs Playtime with Wireless Charging Case&Dual LED Power Display, IPX7 Waterproof Earphones, TWS in Ear Stereo Headset Built-in Mic for iPhone/Android",49.99,29.99,40.0,4.8,566,https://www.amazon.com/CAPOXO-Bluetooth-Headphones-Waterproof-Earphones/dp/B09ZPWL4NH/ref=sr_1_49?keywords=tws&qid=1656433434&s=aht&sr=1-49
"G11 True Wireless Earbuds, TWS Bluetooth Headphones Stereo Sound Earphones, 30H Playtime Wireless Charging Case, Sweat Proof IPX7 Dual Bluetooth 5.0 Headset with Built-in Mic for Sports",9.99,9.99,0,4.0,3,https://www.amazon.com/Wireless-Bluetooth-Headphones-Earphones-Playtime/dp/B09R1BQLPG/ref=sr_1_50?keywords=tws&qid=1656433434&s=aht&sr=1-50
"DSFHKUYB Wireless Earbuds Bluetooth Headphones 40Hrs Playtime with Wireless Charging Case&Dual LED Power Display, IPX67 Waterproof Earphones, TWS in Ear Stereo Headset Built-in Mic for iPhone/Android",29.99,24.99,17.0,4.8,145,https://www.amazon.com/DSFHKUYB-Bluetooth-Headphones-Waterproof-Earphones/dp/B0B2Q1JV1N/ref=sr_1_51?keywords=tws&qid=1656433434&s=aht&sr=1-51
"VOLTSTECH TWS Wireless F9-5 Earphone Bluetooth 5.1 Earphones HiFi Stereo Headset Noise-Cancelling Touch Control Mini Earbuds Headphones Built-in HD Mic with Charging Case, Black",21.98,21.98,0,3.1,5,https://www.amazon.com/VOLTSTECH-Bluetooth-Earphones-Noise-Cancelling-Headphones/dp/B097D5GG39/ref=sr_1_52?keywords=tws&qid=1656433434&s=aht&sr=1-52
"Wireless Earbuds, Bluetooth 5.1 Wireless Headphones, with Charging Case, Touch Control, Hands-Free with Mic, Hi-Fi Stereo Sound, 32 Hours Playback, IPX7 Waterproof, for iPhone/Android/WP (White)",27.99,27.99,0,4.4,27,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A093804414B9YG7OQPDLK&url=%2FWireless-Bluetooth-Headphones-Hands-Free-Waterproof%2Fdp%2FB09X3CKC92%2Fref%3Dsr_1_53_sspa%3Fkeywords%3Dtws%26qid%3D1656433434%26s%3Daht%26sr%3D1-53-spons%26psc%3D1&qualifier=1656433434&id=4405316888249558&widgetName=sp_btf
Edifier GM4 True Wireless Stereo Earbuds TWS Bluetooth 5.0 Headphones IPX5 Waterproof CVC 8.0 Noise Canceling in-Ear Mic Earphones Voice Assistant Wakening Headset for Work Gaming Gym Black,43.99,43.99,0,4.1,79,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics_sr_pg2_1?ie=UTF8&adId=A00854901F6Y4AJF4KQ0Y&url=%2FEdifier-Bluetooth-Headphones-Waterproof-Canceling%2Fdp%2FB08Z77MNTZ%2Fref%3Dsr_1_54_sspa%3Fkeywords%3Dtws%26qid%3D1656433434%26s%3Daht%26sr%3D1-54-spons%26psc%3D1&qualifier=1656433434&id=4405316888249558&widgetName=sp_btf
Bluetooth Headphones Padmate True Wireless Earbuds with 4 Mics CVC8.0 Noise Cancelling Earphones with Charging Case in-Ear Headset Touch Control Sport TWS 30H Playback Waterproof IPX6 Pamu T6C Pink,50.99,50.99,0,3.9,45,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_electronics_sr_pg3_1?ie=UTF8&adId=A012338513M5XKGY17B4J&url=%2FBluetooth-Headphones-Padmate-Cancelling-Waterproof%2Fdp%2FB094D699P4%2Fref%3Dsr_1_49_sspa%3Fkeywords%3Dtws%26qid%3D1656433438%26s%3Daht%26sr%3D1-49-spons%26psc%3D1%26smid%3DAMF5UV7BQ3N0R&qualifier=1656433438&id=544214799431752&widgetName=sp_atf_next
